Team,Conference,SOS,Prev SOS,Adj. RPI,Adj. RPI Value,RPI,RPI Value,WL,Adj. Non-Conf RPI,Non-Conf Record,Conf RPI,Conf. Record,Road WL,Last 10 Games,RPI 1-25,RPI 26-50,RPI 51-100,RPI 101+,vs TOP 100,vs below 150,NC SOS,NC SOS Value,advanced
Northern Colo.,Big Sky,211,207,198,0.46177,198,0.46387,23-30,218,12-20,19,11-10,10-10,5-5,0-2,1-4,0-7,22-17,1-13,20-10,236,0.45313,0
Eastern Ill.,OVC,212,208,207,0.45692,203,0.46252,25-30,192,15-12,18,10-18,6-13,4-6,0-0,0-1,3-8,22-21,3-9,21-10,260,0.43328,0
Yale,Ivy League,213,211,253,0.42333,255,0.42683,11-23,249,2-11,27,9-12,6-8,4-6,0-0,1-1,0-3,10-19,1-4,9-14,89,0.53455,0
UC Davis,Big West,214,217,189,0.46642,192,0.46642,23-29,153,12-13,16,11-16,9-11,4-6,0-1,0-5,2-5,21-18,2-11,16-12,187,0.47884,0
Idaho St.,Big Sky,215,212,185,0.46903,183,0.47113,25-27,179,16-15,19,9-12,13-12,4-6,0-0,1-4,1-4,23-19,2-8,18-12,244,0.44836,0
South Dakota,Summit League,216,232,156,0.48759,154,0.48689,28-25,133,16-13,21,12-12,10-12,5-5,0-0,2-5,0-8,26-12,2-13,20-8,205,0.47221,0
Cal Poly,Big West,217,214,215,0.45044,214,0.45394,19-29,260,5-16,16,14-13,7-13,3-7,0-2,0-3,2-5,17-19,2-10,13-15,223,0.4642,0
Santa Clara,WCC,218,223,221,0.44436,215,0.45346,21-30,237,14-22,13,7-8,5-13,3-7,0-0,0-1,2-7,19-22,2-8,16-15,245,0.44748,0
Indiana St.,MVC,219,215,182,0.4701,181,0.4729,25-27,167,13-11,12,12-16,5-14,5-5,0-0,0-1,1-9,24-17,1-10,18-8,235,0.45346,0
Col. of Charleston,CAA,220,216,261,0.40957,258,0.42147,15-37,286,7-25,14,8-12,4-14,6-4,0-0,0-1,1-1,14-35,1-2,9-21,264,0.42983,0
Oakland,Horizon,221,226,126,0.50616,124,0.50616,26-15,111,5-8,29,21-7,12-9,6-4,0-4,0-1,0-0,26-10,0-5,22-9,39,0.56972,1
UC Riverside,Big West,222,203,168,0.47837,169,0.48117,25-24,199,9-13,16,16-11,8-5,8-2,0-0,0-5,2-5,23-14,2-10,18-5,206,0.47205,0
Northwestern St.,Southland,223,218,147,0.49388,147,0.49388,29-22,136,18-12,15,11-10,8-10,5-5,0-1,0-0,3-10,26-11,3-11,23-9,239,0.45138,0
Gardner-Webb,Big South,224,219,243,0.42938,243,0.43428,15-29,245,8-9,17,7-20,2-16,2-8,0-2,0-0,2-9,13-18,2-11,13-15,290,0.38732,0
Bowling Green,MAC,225,245,127,0.50555,129,0.50415,32-20,134,16-9,22,16-11,8-11,5-5,0-1,0-0,3-8,29-11,3-9,27-9,198,0.4761,0
Valparaiso,MVC,226,220,254,0.42257,256,0.42537,14-33,219,9-10,12,5-23,4-16,3-7,0-1,0-1,0-8,14-23,0-10,14-12,276,0.41338,0
Pacific,WCC,227,221,265,0.40734,266,0.41154,12-37,267,10-25,13,2-12,3-13,1-9,0-1,0-1,1-9,11-26,1-11,10-23,263,0.43035,0
Saint Mary's (CA),WCC,228,242,235,0.43483,238,0.43693,16-31,233,12-20,13,4-11,4-17,3-7,0-0,1-4,0-7,15-20,1-11,12-15,255,0.43752,0
Houston Baptist,Southland,229,225,228,0.43846,224,0.44616,19-29,221,12-14,15,7-15,6-12,7-3,0-0,0-2,1-9,18-18,1-11,18-12,259,0.43335,0
Sacred Heart,NEC,230,228,278,0.39313,282,0.40013,13-42,252,8-23,30,5-19,6-19,1-9,0-0,0-2,1-2,12-38,1-4,11-29,165,0.49417,0
Canisius,MAAC,231,234,123,0.50724,118,0.51004,32-16,162,13-12,28,19-4,13-11,10-0,0-1,0-2,1-4,31-9,1-7,29-6,207,0.47154,1
Butler,Big East,232,224,116,0.51303,114,0.51303,31-17,180,15-11,10,16-6,9-5,7-3,0-1,0-0,5-4,26-12,5-5,19-8,265,0.42954,0
App State,Sun Belt,233,227,167,0.47973,161,0.48323,29-26,163,19-9,8,10-17,8-15,3-7,0-1,1-2,2-10,26-13,3-13,21-5,288,0.3954,0
Buffalo,MAC,234,229,195,0.46321,190,0.46741,22-24,208,9-10,22,13-14,7-14,5-5,0-1,0-0,2-4,20-19,2-5,19-14,261,0.43269,0
