Team,Conference,SOS,Prev SOS,Adj. RPI,Adj. RPI Value,RPI,RPI Value,WL,Adj. Non-Conf RPI,Non-Conf Record,Conf RPI,Conf. Record,Road WL,Last 10 Games,RPI 1-25,RPI 26-50,RPI 51-100,RPI 101+,vs TOP 100,vs below 150,NC SOS,NC SOS Value,advanced
Louisville,ACC,18,17,44,0.58323,46,0.57553,27-25,42,17-9,3,10-16,6-14,3-7,3-16,1-2,12-6,11-1,16-24,8-0,42,0.56847,0
South Carolina,SEC,19,19,50,0.57182,54,0.56202,26-30,34,23-8,1,3-22,3-13,1-9,3-21,1-7,6-2,16-0,10-30,10-0,71,0.54381,0
Texas,Big 12,20,21,14,0.6484,17,0.619,38-17-1,8,25-10-1,4,13-7,12-6,6-4,5-13,4-2-1,20-1,9-1,29-16-1,4-0,6,0.60728,1
North Carolina,ACC,21,20,62,0.55949,59,0.55529,23-28,55,16-10,3,7-18,4-15,2-8,1-17,3-3,10-6,9-2,14-26,7-1,54,0.55773,0
Kentucky,SEC,22,22,24,0.62516,23,0.61256,35-17,25,22-5,1,13-12,11-7,5-5,6-12,12-4,2-1,15-0,20-17,11-0,87,0.53533,1
Oklahoma St.,Big 12,23,28,7,0.67102,11,0.63882,41-12,7,24-8,4,17-4,12-7,5-5,8-8,10-2,14-1,9-1,32-11,5-0,14,0.59365,1
Arizona St.,Pac-12,24,24,10,0.657,7,0.6458,39-9,27,19-5,2,20-4,10-3,7-3,9-3,12-3,6-3,12-0,27-9,7-0,91,0.53382,1
Ole Miss,SEC,25,23,26,0.62045,21,0.61415,39-17,26,26-4,1,13-13,9-8,7-3,10-12,5-3,5-1,19-1,20-16,10-0,115,0.5233,1
California,Pac-12,26,26,53,0.5684,50,0.5642,28-27-1,59,20-11-1,2,8-16,6-16-1,3-7,3-10,5-10,4-3-1,16-4,12-23-1,11-0,78,0.54005,0
Georgia Tech,ACC,27,25,23,0.62766,24,0.61226,37-16,18,25-2,3,12-14,10-8,6-4,2-12,6-2,15-2,14-0,23-16,8-0,125,0.51781,1
Ohio St.,Big Ten,28,30,25,0.62281,26,0.60811,35-15,20,20-5,5,15-10,13-5,7-3,2-7,7-4,9-3,17-1,18-14,8-0,29,0.57716,1
Iowa St.,Big 12,29,29,59,0.56153,58,0.55663,28-27,57,21-14,4,7-13,9-12,7-3,1-12,2-2,11-10,14-3,14-24,10-1,40,0.56948,0
Boston College,ACC,30,31,84,0.54059,82,0.54059,20-27,73,14-9,3,6-18,8-13,2-8,2-12,0-2,8-12,10-1,10-26,9-0,82,0.5386,0
UCLA,Pac-12,31,27,6,0.67284,5,0.65114,43-8,9,24-3,2,19-5,8-4,7-3,10-5,14-3,8-0,11-0,32-8,9-0,96,0.53223,1
Florida St.,ACC,32,35,3,0.69949,3,0.66589,52-5,2,30-0,3,22-5,19-1,10-0,19-2,0-0,18-3,15-0,37-5,8-0,45,0.56622,1
Duke,ACC,33,32,9,0.6593,8,0.6446,41-8,14,20-4,3,21-4,14-5,7-3,8-6,4-1,18-1,11-0,30-8,7-0,41,0.56876,1
Northwestern,Big Ten,34,33,11,0.65526,12,0.63356,40-10,6,20-5,5,20-5,10-4,7-3,10-5,6-3,6-2,18-0,22-10,8-0,12,0.59919,1
Virginia,ACC,35,37,56,0.56368,52,0.56368,27-24,109,14-11,3,13-13,9-11,5-5,3-12,1-6,13-3,10-3,17-21,9-2,166,0.4928,0
Charlotte,C-USA,36,34,33,0.59851,39,0.57891,35-23,19,21-9,7,14-14,9-10,7-3,1-6,6-6,15-8,13-3,22-20,6-2,5,0.60776,0
Texas Tech,Big 12,37,38,81,0.54708,79,0.54218,22-27,64,17-13,4,5-14,5-8,3-7,1-17,1-3,6-6,14-1,8-26,11-1,58,0.55522,0
Stanford,Pac-12,38,40,31,0.60245,31,0.59265,36-19,35,25-6,2,11-13,12-10,4-6,7-10,7-5,1-3,21-1,15-18,16-0,129,0.51653,1
Georgia,SEC,39,39,20,0.63115,25,0.61015,40-16,17,28-3,1,12-13,6-7,4-6,7-8,10-7,7-1,16-0,24-16,14-0,117,0.52227,1
Oregon St.,Pac-12,40,36,37,0.59245,33,0.58685,33-19,31,24-4,2,9-15,10-9,2-8,1-13,6-4,6-0,20-2,13-17,11-1,133,0.51229,1
Oklahoma,Big 12,41,42,1,0.70491,1,0.67201,49-2,1,30-0,4,19-2,15-1,9-1,8-2,6-0,27-0,8-0,41-2,2-0,37,0.57014,1
UAB,C-USA,42,41,75,0.55084,74,0.54664,25-24,74,12-13,7,13-11,8-10,4-6,0-5,2-7,9-8,14-4,11-20,10-2,20,0.5864,0
Wisconsin,Big Ten,43,43,38,0.59223,44,0.57613,28-19,33,15-7,5,13-12,10-6,3-7,3-8,6-8,5-2,14-1,14-18,8-1,59,0.55497,1
UCF,AAC,44,45,15,0.6472,15,0.6227,46-12,11,28-10,6,18-2,13-3,8-2,4-7,10-4,10-1,22-0,24-12,12-0,16,0.59012,1
Illinois,Big Ten,45,44,34,0.59716,35,0.58106,34-20,38,19-12,5,15-8,14-10,6-4,3-10,8-4,6-4,17-2,17-18,8-0,33,0.57415,1
San Diego,WCC,46,45,111,0.5158,128,0.5046,20-34,90,15-25,13,5-9,5-10,1-9,0-2,4-6,1-17,15-9,5-25,13-3,19,0.58648,0
Iowa,Big Ten,47,47,102,0.52832,105,0.52132,21-31,53,18-10,5,3-21,7-11,3-7,0-9,4-11,5-6,12-5,9-26,7-0,79,0.53906,0
Nebraska,Big Ten,48,51,28,0.6126,27,0.6049,40-14,44,20-9,5,20-5,12-8,7-3,5-3,7-4,10-5,18-2,22-12,5-0,65,0.54854,1
Houston,AAC,49,48,77,0.54922,80,0.54082,27-27-1,63,18-17,6,9-10-1,5-7-1,4-6,2-8,3-8,2-6,20-5-1,7-22,14-3,32,0.57434,0
Tulsa,AAC,50,52,114,0.51334,116,0.51194,18-30-1,117,11-20,6,7-10-1,5-16,4-6,0-8,1-10,6-8-1,11-4,7-26-1,10-3,31,0.57449,0
South Alabama,Sun Belt,51,49,67,0.55484,67,0.55134,25-21,91,8-13,8,17-8,10-7,6-4,0-6,1-6,6-7,18-2,7-19,9-0,22,0.58447,0
Arizona,Pac-12,52,53,43,0.58377,45,0.57607,33-20,39,25-4,2,8-16,6-8,6-4,3-12,5-5,7-3,18-0,15-20,17-0,182,0.4809,1
Baylor,Big 12,53,50,63,0.5582,68,0.5512,28-24,54,22-10,4,6-14,8-6,4-6,2-12,0-1,9-8,17-3,11-21,10-2,113,0.52484,0
Indiana,Big Ten,54,55,71,0.55329,60,0.55469,27-22,75,16-8,5,11-14,5-11,4-6,1-9,3-9,2-3,21-1,6-21,10-1,154,0.50122,0
FGCU,ASUN,55,54,132,0.50357,142,0.49937,18-33,101,9-18,11,9-15,5-12,5-5,2-9,0-7,6-3,10-14,8-19,7-8,11,0.59981,0
Penn St.,Big Ten,56,56,55,0.56487,53,0.56207,32-22,69,18-11,5,14-11,13-10,5-5,2-8,3-4,8-8,19-2,13-20,8-1,103,0.52965,0
Notre Dame,ACC,57,57,19,0.63407,18,0.61797,39-10,21,23-4,3,16-6,9-5,8-2,7-5,4-3,15-2,13-0,26-10,7-0,88,0.53489,1
Wichita St.,AAC,58,58,36,0.59275,36,0.58085,33-16,43,18-11,6,15-5,12-10,7-3,1-7,6-6,7-2,19-1,14-15,14-1,38,0.57008,1
Auburn,SEC,59,59,32,0.60189,30,0.59489,39-15,30,28-1,1,11-14,7-9,5-5,5-13,9-2,2-0,23-0,16-15,18-0,226,0.46213,1
Longwood,Big South,60,63,68,0.55429,72,0.54939,34-24,112,9-16,17,25-8,10-12,8-2,0-6,2-2,6-12,26-4,8-20,23-3,44,0.56632,0
Liberty,ASUN,61,64,29,0.60762,32,0.59082,43-16,37,17-15,11,26-1,14-4,8-2,3-10,1-2,15-1,24-3,19-13,13-2,7,0.60696,1
FIU,C-USA,62,61,143,0.49873,143,0.49873,19-31,85,14-12,7,5-19,3-13,2-8,0-5,0-6,2-12,17-8,2-23,16-5,57,0.55542,0
Middle Tenn.,C-USA,63,60,150,0.49062,149,0.49202,19-34,120,13-16,7,6-18,4-13,1-9,0-3,1-10,3-10,15-11,4-23,10-6,60,0.5525,0
New Mexico St.,WAC,64,62,193,0.464,197,0.464,13-38,172,5-18,20,8-20,5-14,3-7,0-4,0-4,1-10,12-20,1-18,10-7,27,0.57811,0
Hofstra,CAA,65,65,129,0.50478,130,0.50408,21-27,173,8-19,14,13-8,10-10,5-5,0-2,1-3,1-7,19-15,2-12,13-6,62,0.55185,0
Louisiana,Sun Belt,66,69,27,0.6171,28,0.6045,45-11,29,18-7,8,27-4,16-5,10-0,1-6,2-0,17-2,25-3,20-8,13-3,56,0.55556,1
James Madison,CAA,67,67,103,0.5254,106,0.5212,21-21,93,11-16,14,10-5,9-9,6-4,0-5,0-3,5-3,16-10,5-11,14-3,17,0.58863,0
St. John's (NY),Big East,68,66,211,0.45479,212,0.45689,12-35,171,7-17,10,5-18,3-22,2-8,0-0,0-4,0-6,12-25,0-10,8-8,35,0.57227,0
NC State,ACC,69,68,66,0.55499,70,0.55009,33-23,47,26-5,3,7-18,6-11,5-5,0-10,3-3,11-9,19-1,14-22,16-1,184,0.4806,0
Syracuse,ACC,70,70,87,0.53811,84,0.53811,26-21,103,18-5,3,8-16,6-13,6-4,1-11,1-4,6-2,18-4,8-17,14-3,268,0.42462,0
North Texas,C-USA,71,75,47,0.57729,41,0.57729,35-14,70,15-7,7,20-7,13-7,8-2,0-3,4-2,13-7,18-2,17-12,14-1,144,0.50611,1
Fresno St.,Mountain West,72,78,165,0.4807,170,0.4807,19-36,198,9-22,9,10-14,6-18,4-6,0-6,0-11,2-7,17-12,2-24,15-11,123,0.51986,0
McNeese,Southland,73,73,58,0.56231,57,0.55671,38-19,77,21-16,15,17-3,14-6,9-1,0-5,2-4,8-6,28-4,10-15,22-3,70,0.54475,1
Michigan St.,Big Ten,74,72,113,0.51343,115,0.51203,24-28,106,20-11,5,4-17,5-15,3-7,1-9,0-7,4-6,19-6,5-22,14-1,217,0.46668,0
UTSA,C-USA,75,74,152,0.4886,151,0.49,18-30,194,7-17,7,11-13,8-11,4-6,0-2,2-5,5-11,11-12,7-18,8-3,95,0.53299,0
Kansas City,Summit League,76,71,196,0.46247,204,0.46247,13-34,189,4-22,21,9-12,0-17,5-5,0-7,0-8,1-8,12-11,1-23,11-5,21,0.58589,0
Texas St.,Sun Belt,77,83,51,0.57179,51,0.56409,38-19,58,16-9,8,22-10,18-7,8-2,1-4,2-7,9-3,26-5,12-14,18-2,127,0.51716,0
Memphis,AAC,78,77,188,0.46676,187,0.46886,16-38,169,14-21,6,2-17,0-12,0-10,0-6,0-9,1-11,15-12,1-26,9-4,136,0.51099,0
Western Ky.,C-USA,79,85,41,0.58557,34,0.58277,38-13,32,18-4,7,20-9,6-9,7-3,1-1,2-6,9-4,26-2,12-11,17-0,97,0.53161,0
Maryland,Big Ten,80,76,83,0.54073,85,0.53793,29-23,116,14-14,5,15-9,13-6,5-5,2-7,2-3,4-5,21-8,8-15,7-3,131,0.51406,0
Coastal Carolina,Sun Belt,81,81,119,0.51097,121,0.50817,25-29,95,14-9,8,11-20,4-12,7-3,0-2,0-6,5-11,20-10,5-19,18-1,172,0.48815,0
Fla. Atlantic,C-USA,82,79,105,0.52301,99,0.52721,29-26,165,13-15,7,16-11,7-7,6-4,0-2,4-9,6-8,19-7,10-19,13-4,188,0.47883,0
Rutgers,Big Ten,83,80,124,0.50681,119,0.50961,25-28,84,22-11,5,3-17,3-13,2-8,0-4,1-10,3-9,21-5,4-23,17-3,145,0.50528,0
UTEP,C-USA,84,84,192,0.46434,195,0.46574,15-34,187,10-15,7,5-19,2-17,3-7,0-1,0-9,2-12,13-12,2-22,11-11,170,0.49006,0
Illinois St.,MVC,85,86,131,0.50406,132,0.50266,24-28,128,9-14,12,15-14,5-15,5-5,0-3,0-4,3-7,21-14,3-14,14-10,68,0.54637,0
Delaware,CAA,86,82,80,0.54805,75,0.54595,29-16,80,17-10,14,12-6,9-7,5-5,0-1,0-0,5-3,24-12,5-4,13-3,138,0.50938,0
Kennesaw St.,ASUN,87,88,135,0.50192,131,0.50332,23-28,147,9-14,11,14-14,7-18,8-2,0-6,0-3,0-15,23-4,0-24,18-2,114,0.52447,0
DePaul,Big East,88,87,101,0.52895,100,0.52685,29-24,127,13-16,10,16-8,12-9,5-5,0-3,1-6,4-6,24-9,5-15,18-1,74,0.54318,0
San Diego St.,Mountain West,89,89,49,0.57399,47,0.56909,37-14,72,17-10,9,20-4,12-2,8-2,1-2,3-3,3-5,30-4,7-10,23-3,126,0.51776,1
Purdue,Big Ten,90,93,127,0.50555,134,0.50205,24-31,118,17-15,5,7-16,6-15,5-5,0-8,2-2,2-10,20-11,4-20,10-2,159,0.49602,0
Drake,MVC,91,92,146,0.49446,148,0.49236,21-29,175,6-16,12,15-13,5-13,4-6,0-5,1-2,4-7,16-15,5-14,13-9,83,0.5378,0
Southern Utah,Big Sky,92,94,271,0.40002,281,0.40072,3-40,254,3-22,19,0-18,0-16,0-10,0-1,1-8,0-5,2-26,1-14,2-18,105,0.52936,0
Akron,MAC,93,91,183,0.46938,186,0.46938,18-32,174,5-16,22,13-16,7-16,2-8,0-2,0-1,0-9,18-20,0-12,17-15,18,0.58741,0
St. Thomas (MN),Summit League,94,90,217,0.44817,220,0.45027,14-36,211,6-23,21,8-13,6-14,2-8,0-3,1-5,1-7,12-21,2-15,11-13,52,0.5606,0
Troy,Sun Belt,95,95,79,0.54841,83,0.53861,31-21,56,14-7,8,17-14,7-10,4-6,2-3,1-5,5-6,23-7,8-14,14-3,128,0.51701,0
Boston U.,Patriot,96,99,54,0.56746,56,0.55976,40-17,48,24-14,26,16-3,18-6,6-4,1-6,1-3,7-7,31-1,9-16,23-0,28,0.57738,0
Villanova,Big East,97,103,88,0.53621,89,0.53481,32-22,108,16-15,10,16-7,12-11,7-3,0-4,0-3,5-8,27-7,5-15,19-2,85,0.536,1
Southern Miss.,C-USA,98,97,100,0.5292,102,0.5243,29-23,62,20-8,7,9-15,9-10,3-7,1-1,5-6,2-10,21-6,8-17,19-5,148,0.50407,0
SIUE,OVC,99,96,190,0.46583,193,0.46583,19-35,168,9-14,18,10-21,1-20,4-6,0-0,0-1,1-9,18-25,1-10,8-14,118,0.52193,0
Nicholls,Southland,100,98,231,0.43726,232,0.44146,12-38,215,8-22,15,4-16,5-17,2-8,0-3,0-3,0-16,12-16,0-22,10-10,124,0.51864,0
Campbell,Big South,101,106,74,0.55189,65,0.55189,37-17,104,13-10,17,24-7,14-7,8-2,0-1,0-2,7-9,30-5,7-12,28-2,139,0.50871,1
Cal St. Fullerton,Big West,102,102,64,0.55613,76,0.54563,36-20,50,16-13,16,20-7,13-6,5-5,1-4,3-3,5-4,27-9,9-11,23-3,23,0.58339,1
California Baptist,WAC,103,100,108,0.51855,109,0.51715,30-26,89,18-14,20,12-12,5-12,6-4,0-3,0-5,4-8,26-10,4-16,19-5,110,0.52545,0
South Fla.,AAC,104,113,39,0.59109,40,0.57849,44-14,41,30-8,6,14-6,11-2,8-2,4-8,4-2,4-0,32-4,12-10,23-2,155,0.50022,1
UConn,Big East,105,104,60,0.56126,61,0.55426,38-18,96,18-14,10,20-4,14-5,6-4,1-3,0-2,6-5,31-8,7-10,21-1,104,0.52947,0
Bucknell,Patriot,106,101,260,0.41122,264,0.41472,7-38,227,4-23,26,3-15,4-17,2-8,0-2,0-2,0-13,7-21,0-17,6-17,48,0.56558,0
Colorado St.,Mountain West,107,122,169,0.47789,172,0.47789,18-28,193,9-13,9,9-15,2-13,4-6,0-1,0-9,1-5,17-13,1-15,17-9,190,0.47841,0
Creighton,Big East,108,105,194,0.46373,193,0.46583,15-27,139,10-10,10,5-17,4-16,1-9,0-0,0-3,0-7,15-17,0-10,11-10,134,0.51219,0
Long Beach St.,Big West,109,119,99,0.52938,101,0.52588,29-22,87,10-14,16,19-8,8-8,7-3,0-6,1-3,3-5,25-8,4-14,17-5,25,0.58176,0
Missouri St.,MVC,110,126,85,0.54008,87,0.53518,27-18,102,7-11,12,20-7,8-7,7-3,1-4,1-2,1-3,24-9,3-9,14-3,55,0.55703,1
Lehigh,Patriot,111,131,96,0.53247,94,0.53247,30-18-1,114,14-15-1,26,16-3,10-7,8-2,0-3,0-2,5-5,25-8-1,5-10,23-4,43,0.56823,1
East Carolina,AAC,112,107,186,0.46845,185,0.47055,20-36,160,18-19,6,2-17,6-12,1-9,0-7,0-7,0-7,20-15,0-21,17-5,176,0.48499,0
Furman,SoCon,113,109,171,0.47709,173,0.47779,22-33,146,12-21,23,10-12,5-21,4-6,0-8,1-3,2-8,19-14,3-19,17-12,63,0.55082,0
Central Ark.,ASUN,114,108,76,0.55049,78,0.54279,35-20,67,16-11,11,19-9,12-11,7-3,2-4,1-3,6-8,26-5,9-15,16-1,102,0.52971,0
Nevada,Mountain West,115,111,209,0.45596,210,0.45736,17-35,217,10-18,9,7-17,4-16,4-6,0-1,0-9,1-3,16-22,1-13,13-19,195,0.4775,0
Georgia St.,Sun Belt,116,112,173,0.47531,171,0.47811,21-33,200,9-16,8,12-17,4-23,5-5,0-5,1-3,1-8,19-17,2-16,11-10,161,0.49558,0
Marshall,C-USA,117,114,78,0.54915,73,0.54775,35-18,86,18-7,7,17-11,7-11,5-5,0-0,6-7,2-5,27-6,8-12,17-4,219,0.46538,0
Lipscomb,ASUN,118,110,180,0.47181,179,0.47391,20-32,166,10-17,11,10-15,3-9,4-6,0-2,0-3,3-12,17-15,3-17,12-6,86,0.53567,0
UT Arlington,Sun Belt,119,117,141,0.49954,146,0.49534,22-27,131,10-10,8,12-17,6-13,2-8,1-1,0-7,3-10,18-9,4-18,12-8,178,0.4843,0
Saint Joseph's,Atlantic 10,120,116,134,0.5024,140,0.4996,23-23,125,8-13,25,15-10,12-9,6-4,0-2,0-1,3-8,20-12,3-11,17-9,34,0.57363,0
N.C. A&T,Big South,121,121,234,0.4349,234,0.4384,13-35,178,10-13,17,3-22,1-17,1-9,0-0,0-2,0-11,13-22,0-13,13-18,141,0.50753,0
Loyola Chicago,MVC,122,118,191,0.46564,191,0.46704,17-30,177,6-12,12,11-18,6-16,4-6,0-2,0-2,2-11,15-15,2-15,11-9,107,0.52754,0
Seattle U,WAC,123,123,106,0.52117,107,0.52117,32-24,97,14-13,20,18-11,10-8,7-3,0-3,0-4,2-4,30-13,2-11,24-6,81,0.53881,0
Southeast Mo. St.,OVC,124,120,118,0.51172,112,0.51452,30-24,144,11-12,18,19-12,5-19,6-4,0-2,0-4,4-8,26-10,4-14,21-8,156,0.49734,0
UC Santa Barbara,Big West,125,115,222,0.44375,227,0.44375,15-39,158,9-18,16,6-21,5-10,3-7,0-3,0-5,0-8,15-23,0-16,11-15,53,0.55788,0
Saint Louis,Atlantic 10,126,124,164,0.4817,167,0.4817,22-29,151,8-17,25,14-12,7-10,2-8,0-1,0-5,3-11,19-12,3-17,16-8,50,0.5622,0
ULM,Sun Belt,127,127,142,0.49947,141,0.49947,27-27,98,17-9,8,10-18,7-14,3-7,0-0,0-6,5-10,22-11,5-16,17-5,169,0.49022,0
UC San Diego,Big West,128,125,125,0.50623,127,0.50483,27-26,94,12-14,16,15-12,10-8,6-4,0-4,0-3,3-7,24-12,3-14,17-6,51,0.56199,0
Dixie St.,WAC,129,128,184,0.46937,189,0.46797,19-32,186,11-16,20,8-16,6-16,4-6,0-0,0-4,3-8,16-20,3-12,13-7,191,0.47799,0
ETSU,SoCon,130,129,267,0.40645,268,0.40925,8-48,264,4-32,23,4-16,4-22,2-8,0-4,0-2,0-13,8-29,0-19,8-23,116,0.52266,0
UNI,MVC,131,137,70,0.55348,71,0.54998,32-14,107,9-10,12,23-4,15-5,7-3,0-0,1-6,3-2,28-6,4-8,17-3,100,0.53005,0
North Florida,ASUN,132,139,65,0.55541,62,0.55401,42-17,61,23-7,11,19-10,11-5,4-6,0-5,0-5,6-1,36-6,6-11,23-2,185,0.48048,0
Boise St.,Mountain West,133,130,42,0.584,43,0.5763,40-10,45,21-5,9,19-5,19-4,10-0,0-0,2-3,5-6,33-1,7-9,28-1,174,0.48707,0
Ga. Southern,Sun Belt,134,133,225,0.44051,228,0.44331,13-34,251,7-15,8,6-19,4-13,4-6,0-1,1-2,1-12,11-19,2-15,10-10,237,0.4525,0
Ball St.,MAC,135,134,175,0.47333,177,0.47473,22-31,181,7-17,22,15-14,8-13,4-6,1-4,0-1,1-7,20-19,2-12,19-14,75,0.54247,0
San Jose St.,Mountain West,136,135,177,0.47285,174,0.47775,22-29,170,14-12,9,8-17,7-13,2-8,0-0,0-7,2-4,20-18,2-11,15-15,224,0.4634,0
Hawaii,Big West,137,132,120,0.50956,123,0.50746,23-19,100,5-9,16,18-10,8-9,6-4,0-2,0-0,5-8,18-9,5-10,16-8,4,0.61463,0
Western Ill.,Summit League,138,136,259,0.41306,263,0.41586,8-37,243,4-20,21,4-17,1-15,1-9,0-1,0-7,1-8,7-21,1-16,7-16,122,0.52057,0
St. Bonaventure,Atlantic 10,139,143,272,0.39928,279,0.40348,8-38,204,7-15,25,1-23,3-21,1-9,0-0,0-0,0-3,8-35,0-3,7-21,64,0.54873,0
UNC Greensboro,SoCon,140,142,72,0.55293,77,0.54523,39-18,68,21-14,23,18-4,9-8,6-4,0-4,1-1,10-6,28-7,11-11,25-3,98,0.53058,0
Toledo,MAC,141,141,250,0.42474,254,0.42894,12-37,202,7-16,22,5-21,6-20,3-7,0-3,0-2,0-6,12-26,0-11,12-19,109,0.52587,0
Northern Ky.,Horizon,142,145,159,0.48434,162,0.48294,27-29,92,11-14,29,16-15,15-12,7-3,0-6,0-0,2-3,25-20,2-9,22-14,15,0.59033,0
LMU (CA),WCC,143,138,57,0.5629,63,0.5524,36-15,60,23-13,13,13-2,9-2,8-2,1-4,3-5,5-3,27-3,9-12,21-2,140,0.5087,1
Tennessee St.,OVC,144,146,251,0.4247,241,0.4352,15-39,238,9-17,18,6-22,5-17,3-7,0-3,0-2,2-7,13-27,2-12,12-17,212,0.46908,0
Towson,CAA,145,144,237,0.43364,236,0.43784,14-33,222,10-17,14,4-16,2-13,1-9,0-0,0-0,2-8,12-25,2-8,9-14,196,0.47693,0
SFA,WAC,146,159,121,0.50855,120,0.50855,31-24,142,10-17,20,21-7,13-11,6-4,0-2,0-5,3-10,28-8,3-17,21-7,76,0.54159,0
South Dakota St.,Summit League,147,179,46,0.57878,48,0.56688,40-11,46,19-8,21,21-3,18-5,9-1,0-0,3-4,7-3,30-4,10-7,25-1,111,0.52512,1
Southern Ill.,MVC,148,149,109,0.5178,111,0.5157,27-19-1,99,11-8-1,12,16-11,11-8-1,7-3,0-3,1-0,2-7-1,24-9,3-10-1,20-6,149,0.50366,0
Samford,SoCon,149,148,98,0.52953,96,0.52953,34-19,88,16-14,23,18-5,12-9,6-4,0-0,0-5,4-7,30-7,4-12,24-4,67,0.54671,0
Belmont,OVC,150,169,89,0.53545,91,0.53405,33-17,132,10-7,18,23-10,9-12,5-5,0-0,0-2,6-7,27-8,6-9,21-1,254,0.44026,0
CSUN,Big West,151,140,157,0.48757,160,0.48337,24-30,143,10-17,16,14-13,11-10,7-3,0-3,2-7,0-7,22-13,2-17,19-3,105,0.52936,0
Morehead St.,OVC,152,150,274,0.39828,271,0.40878,8-36,299,1-16,18,7-20,2-17,3-7,0-0,0-0,1-8,7-28,1-8,6-17,253,0.44069,0
Utah St.,Mountain West,153,147,148,0.49202,150,0.49132,28-28,185,15-16,9,13-12,11-15,3-7,0-0,2-5,2-4,24-19,4-9,22-15,233,0.45448,0
Ohio,MAC,154,151,154,0.48782,156,0.48642,23-25,212,6-15,22,17-10,9-7,4-6,0-4,0-2,3-2,20-17,3-8,18-15,112,0.52496,0
Miami (OH),MAC,155,170,61,0.56066,69,0.55086,40-15-1,79,16-10-1,22,24-5,17-5,8-2,2-6,2-0,2-1-1,34-8,6-7-1,29-7,119,0.52183,1
Massachusetts,Atlantic 10,156,153,206,0.45701,211,0.45701,19-32,205,7-18,25,12-14,8-11,2-8,0-3,0-3,0-8,19-18,0-14,17-11,108,0.52673,0
Kent St.,MAC,157,152,176,0.47291,182,0.47151,20-28,119,9-11,22,11-17,8-17,4-6,0-5,0-0,1-8,19-15,1-13,14-13,92,0.53359,0
Sam Houston,WAC,158,160,230,0.43764,239,0.43624,15-39,196,7-22,20,8-17,6-18,4-6,0-2,0-4,2-9,13-24,2-15,10-13,80,0.53882,0
Seton Hall,Big East,159,158,170,0.47787,165,0.48207,20-23,152,11-9,10,9-14,13-7,4-6,0-0,0-2,1-5,19-16,1-7,11-7,211,0.46943,0
Hampton,Big South,160,154,241,0.43022,230,0.44212,19-36,229,12-16,17,7-20,5-15,2-8,0-0,0-0,1-10,18-26,1-10,18-21,208,0.47141,0
Georgetown,Big East,161,155,216,0.44962,217,0.45242,15-28,197,10-12,10,5-16,5-13,3-7,0-0,0-0,1-7,14-21,1-7,12-8,213,0.46893,0
Stetson,ASUN,162,156,201,0.45995,202,0.46275,21-35,183,11-20,11,10-15,5-13,2-8,0-4,1-4,5-7,15-20,6-15,10-14,132,0.51267,0
Weber St.,Big Sky,163,168,48,0.57518,49,0.56608,38-10,52,22-9,19,16-1,11-5,8-2,0-1,3-3,3-2,32-4,6-6,23-2,137,0.50954,1
UAlbany,America East,164,174,137,0.50103,125,0.50593,25-17,195,13-9,24,12-8,7-6,5-5,0-0,0-0,0-1,25-16,0-1,19-9,278,0.41001,0
Providence,Big East,165,157,145,0.49629,144,0.49769,25-21,115,14-8,10,11-13,9-11,3-7,0-0,0-2,1-6,24-13,1-8,20-6,177,0.48431,0
Fordham,Atlantic 10,166,186,112,0.51565,113,0.51355,30-20,129,12-12,25,18-8,13-7,8-2,0-0,1-3,2-7,27-10,3-10,20-6,153,0.50255,1
Austin Peay,OVC,167,162,130,0.50418,126,0.50488,30-23,150,13-11,18,17-12,12-11,7-3,0-1,0-0,5-10,25-12,5-11,20-7,227,0.46206,0
UIC,Horizon,168,163,245,0.42811,250,0.43161,13-32,216,3-17,29,10-15,5-14,4-6,0-1,0-8,0-1,13-22,0-10,12-17,47,0.56604,0
Jacksonville,ASUN,169,165,226,0.43959,223,0.44729,15-31,230,6-16,11,9-15,3-12,2-8,0-4,0-4,0-8,15-15,0-16,14-6,146,0.5049,0
Portland St.,Big Sky,170,161,117,0.51241,117,0.51031,25-18,83,13-11,19,12-7,7-7,6-4,0-3,1-2,2-2,22-11,3-7,19-6,69,0.545,0
Mercer,SoCon,171,166,233,0.43519,235,0.43799,16-40,228,9-27,23,7-13,5-18,3-7,0-6,0-2,0-11,16-21,0-19,15-17,159,0.49602,0
CSU Bakersfield,Big West,172,167,268,0.40206,274,0.40696,8-37,213,5-12,16,3-25,3-18,0-10,0-2,0-0,0-12,8-23,0-14,7-17,120,0.52159,0
Stony Brook,America East,173,164,107,0.51949,103,0.52369,31-16,110,21-10,24,10-6,8-9,7-3,0-1,0-2,1-0,30-13,1-3,19-6,230,0.46015,0
Eastern Ky.,ASUN,174,172,246,0.4252,247,0.4329,13-36,271,4-20,11,9-16,8-10,6-4,0-2,0-6,0-12,13-16,0-20,13-11,197,0.4762,0
A&M-Corpus Christi,Southland,175,171,166,0.4806,163,0.4827,25-27,191,12-18,15,13-9,9-11,6-4,0-0,0-4,5-10,20-13,5-14,16-10,175,0.48631,0
